ArticleNumber,RelevantToTask,Original
1,yes,yes
2,yes,no
3,yes,yes
4,yes,yes
5,yes,no
6,no,no
7,no,no
8,yes,yes
9,yes,yes
10,no,yes
11,no,yes
12,no,no
13,yes,no
14,no,no
15,yes,yes
16,no,no
17,no,yes
18,no,yes
19,no,no
20,no,yes
21,no,yes
22,no,yes
23,no,no
24,no,no
25,no,yes
26,no,no
27,yes,yes
28,no,no
29,no,yes
30,no,yes
31,no,yes
32,no,yes
33,no,no
34,no,no
35,yes,yes
36,no,no
37,no,yes
38,yes,no
39,no,yes
40,yes,no
41,yes,yes
42,no,no
43,yes,no
44,no,no
45,no,no
46,no,no
47,no,yes
48,no,no
49,yes,no
50,yes,no
51,no,no
52,no,yes
53,no,yes
54,yes,yes
55,no,yes
56,yes,no
57,no,no
58,no,yes
59,no,no
60,yes,yes
61,no,no
62,no,yes
63,yes,no
64,no,yes
65,no,no
66,no,no
67,yes,no
68,yes,yes
69,no,yes
70,no,no
71,no,yes
72,yes,yes
73,yes,no
74,yes,yes
75,no,yes
76,no,no
77,no,no
78,yes,yes
79,yes,yes
80,yes,no
81,yes,no
82,no,yes
83,no,no
84,no,no
85,no,no
86,yes,yes
87,yes,no
88,yes,yes
89,yes,no
90,no,no
91,no,no
92,yes,no
93,no,yes
94,no,no
95,yes,yes
96,no,no
97,yes,no
98,no,yes
99,yes,no
100,no,yes
101,no,no
102,yes,yes
103,no,no
104,no,yes
105,yes,yes
106,no,no
107,no,no
108,yes,yes
109,no,no
110,no,no
111,no,yes
112,yes,no
113,no,no
114,no,no
115,yes,no
116,yes,yes
117,no,no
118,no,no
119,no,no
120,no,yes
121,no,no
122,no,no
123,yes,no
124,yes,yes
125,no,no
126,no,yes
127,yes,no
128,yes,yes
129,yes,no
130,no,no
131,no,yes
132,yes,yes
133,yes,yes
134,no,yes
135,yes,yes
136,no,no
137,no,no
138,no,no
139,yes,yes
140,no,no
141,no,no
142,no,no
143,no,no
144,no,no
145,no,no
146,no,no
147,no,no
148,yes,no
149,no,no
150,yes,yes
151,no,no
152,yes,no
153,yes,no
154,no,no
155,no,no
156,no,yes
157,yes,yes
158,no,no
159,no,yes
160,no,no
161,yes,yes
162,yes,no
163,yes,yes
164,yes,no
165,yes,yes
166,yes,yes
167,yes,yes
168,yes,no
169,no,no
170,no,no
171,no,no
172,no,yes
173,no,yes
174,no,no
175,yes,yes
176,no,yes
177,no,yes
178,no,yes
179,no,yes
180,yes,no
181,yes,no
182,yes,yes
183,yes,yes
184,no,yes
185,no,no
186,no,yes
187,no,no
188,no,no
189,no,yes
190,yes,no
191,yes,no
192,no,no
193,no,no
194,no,yes
195,yes,yes
196,yes,no
197,yes,yes
198,yes,no
199,no,no
200,no,no
201,yes,no
202,no,no
203,yes,no
204,no,no
205,no,yes
206,no,yes
207,no,no
208,yes,no
209,no,no
210,yes,no
