"Serial","Participant","ActionType","ActionParameters","Date","Time","Group","Day","duration"
"1","VAST32P","Search","None from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 18M 49S,"Group2","Day1",2
"2","VAST32P","Search","None from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 18M 51S,"Group2","Day1",NA
"3","VAST32P","EditNotes","VAST32P_revision_1_July_17_10:29_AM.patch","7/17/19",10H 29M 0S,"Group2","Day1",NA
"4","VAST32P","EditNotes","VAST32P_revision_2_July_17_10:36_AM.patch","7/17/19",10H 36M 0S,"Group2","Day1",NA
"5","VAST32P","GetDetail","Article 406","7/17/19",10H 40M 11S,"Group2","Day1",53
"6","VAST32P","GetDetail","Article 121","7/17/19",10H 41M 4S,"Group2","Day1",47
"7","VAST32P","GetDetail","Article 265","7/17/19",10H 41M 51S,"Group2","Day1",69
"8","VAST32P","EditNotes","VAST32P_revision_3_July_17_10:43_AM.patch","7/17/19",10H 43M 0S,"Group2","Day1",147
"9","VAST32P","GetDetail","Article 227","7/17/19",10H 45M 27S,"Group2","Day1",107
"10","VAST32P","GetDetail","Article 56","7/17/19",10H 47M 14S,"Group2","Day1",34
"11","VAST32P","Search","elodis from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 47M 48S,"Group2","Day1",10
"12","VAST32P","Search","Elodis from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 47M 58S,"Group2","Day1",3
"13","VAST32P","Search","Elodis from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 48M 1S,"Group2","Day1",7
"14","VAST32P","Search","Elodis from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 48M 8S,"Group2","Day1",7
"15","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 0","7/17/19",10H 48M 15S,"Group2","Day1",8
"16","VAST32P","GetDetail","Resume-IsiaVann.pdf","7/17/19",10H 48M 23S,"Group2","Day1",104
"17","VAST32P","GetDetail","Article 279","7/17/19",10H 50M 7S,"Group2","Day1",33
"18","VAST32P","GetDetail","Article 59","7/17/19",10H 50M 40S,"Group2","Day1",61
"19","VAST32P","GetDetail","Article 99","7/17/19",10H 51M 41S,"Group2","Day1",19
"20","VAST32P","EditNotes","VAST32P_revision_7_July_17_10:52_AM.patch","7/17/19",10H 52M 0S,"Group2","Day1",146
"21","VAST32P","GetDetail","Article 162","7/17/19",10H 54M 26S,"Group2","Day1",66
"22","VAST32P","GetDetail","Article 408","7/17/19",10H 55M 32S,"Group2","Day1",74
"23","VAST32P","GetDetail","Article 27","7/17/19",10H 56M 46S,"Group2","Day1",8
"24","VAST32P","GetDetail","Article 340","7/17/19",10H 56M 54S,"Group2","Day1",9
"25","VAST32P","GetDetail","Article 430","7/17/19",10H 57M 3S,"Group2","Day1",57
"26","VAST32P","EditNotes","VAST32P_revision_10_July_17_10:58_AM.patch","7/17/19",10H 58M 0S,"Group2","Day1",43
"27","VAST32P","GetDetail","Article 306","7/17/19",10H 58M 43S,"Group2","Day1",23
"28","VAST32P","GetDetail","Article 306","7/17/19",10H 59M 6S,"Group2","Day1",5
