Name,accuracy,narrative,center,explanation,logical,overall
VAST3FF,0,story-flow,big-picture,high,high,4
VAST5KP,1,by-names,people,mid,mid,3
VAST6D8,1,by-names,people,low,low,2
VAST9L7,2,by-names,people,low,low,3
VAST32P,-2,by-events,events,low,mid,2
VASTA6W,-3,by-events,events,low,mid,1
VASTBNJ,0,by-both,by-both,low,mid,4
VASTBR1,0,by-events,events,low,high,4
VASTBTZ,0,by-events,events,low,mid,4
VASTBW9,-4,none,none,low,low,0
VASTCER,0,by-both,both,high,high,4
VASTFOB,0,by-events,events,low,mid,4
VASTZG2,-3,by-people,people,low,low,1
VASTJL1,-2,by-events,events,low,mid,2
VASTKD0,2,by-both,both,mid,mid,3
VASTKW0,-3,by-events,events,low,mid,2
VASTL6X,-1,by-events,events,low,mid,3
VASTN5Z,-3,by-events,events,low,mid,2
VASTOIC,0,by-both,both,mid,mid,4
VASTOMS,2,by-events,events,mid,mid,2
VASTPSZ,-2,by-events,events,low,mid,2
VASTRDI,0,by-both,both,mid,high,4
VASTSYZ,-1,by-people,people,mid,high,3
VASTT93,-3,by-events,events,low,low,2
VASTUBX,-2,by-events,events,mid,mid,3
VASTVD5,-1,by-events,events,low,mid,3
VASTWC0,-1,by-events,events,low,mid,3
VASTWI0,0,by-both,both,high,high,4
VASTWK2,-1,by-people,people,low,mid,3
VASTXYZ-1,-3,by-people,people,low,low,1
VASTXYZ-2,0,none,none,low,low,0
